origin_group,year,from,to,count
Islamic,2013,A,A,1
Islamic,2013,D,D,5
Islamic,2013,D,H_D,1
Islamic,2013,H_D,H_D,6
Islamic,2014,A,A,1
Islamic,2014,D,D,5
Islamic,2014,H_D,H_D,7
Islamic,2015,A,A,1
Islamic,2015,D,D,7
Islamic,2015,D,H_D,2
Islamic,2015,H_A,H_A,1
Islamic,2015,H_D,H_D,8
Islamic,2016,A,A,1
Islamic,2016,D,D,7
Islamic,2016,D,H_D,1
Islamic,2016,H_A,H_A,1
Islamic,2016,H_D,H_D,10
Islamic,2017,A,A,1
Islamic,2017,D,D,7
Islamic,2017,H_A,H_A,1
Islamic,2017,H_D,H_D,10
Islamic,2017,H_D,P_D,1
Islamic,2018,A,A,1
Islamic,2018,D,D,7
Islamic,2018,H_A,H_A,1
Islamic,2018,H_D,H_A,1
Islamic,2018,H_D,H_D,9
Islamic,2018,P_D,P_D,1
Islamic,2019,A,P_A,1
Islamic,2019,D,D,5
Islamic,2019,D,H_D,1
Islamic,2019,D,P_A,1
Islamic,2019,H_A,H_A,2
Islamic,2019,H_D,H_D,9
Islamic,2019,P_D,P_D,1
Islamic,2020,D,D,5
Islamic,2020,H_A,P_A,2
Islamic,2020,H_D,H_D,9
Islamic,2020,H_D,P_A,1
Islamic,2020,P_A,P_A,2
Islamic,2020,P_D,P_D,1
Islamic,2021,D,D,4
Islamic,2021,D,P_D,1
Islamic,2021,H_D,H_D,8
Islamic,2021,H_D,P_D,1
Islamic,2021,P_A,P_A,4
Islamic,2021,P_A,P_D,1
Islamic,2021,P_D,P_D,1
Islamic,2022,D,D,4
Islamic,2022,H_D,H_D,7
Islamic,2022,H_D,P_D,1
Islamic,2022,P_A,P_A,2
Islamic,2022,P_A,P_D,2
Islamic,2022,P_D,P_D,4
Japanese,2000,D,D,1
Japanese,2001,D,D,2
Japanese,2001,D,H_D,1
Japanese,2001,H_D,H_D,3
Japanese,2002,D,D,5
Japanese,2002,H_D,H_D,5
Japanese,2003,D,D,9
Japanese,2003,H_D,H_D,5
Japanese,2004,D,D,9
Japanese,2004,H_D,H_D,5
Japanese,2005,D,D,9
Japanese,2005,H_D,H_D,7
Japanese,2006,D,D,9
Japanese,2006,H_D,H_D,7
Japanese,2007,D,D,8
Japanese,2007,D,H_D,1
Japanese,2007,H_D,H_D,7
Japanese,2007,P_D,P_D,1
Japanese,2008,D,D,7
Japanese,2008,D,H_D,1
Japanese,2008,H_D,H_D,7
Japanese,2008,H_D,P_D,1
Japanese,2008,P_D,P_D,1
Japanese,2009,A,D,1
Japanese,2009,D,D,6
Japanese,2009,D,H_D,1
Japanese,2009,H_D,H_D,7
Japanese,2009,H_D,P_D,1
Japanese,2009,P_D,P_D,2
Japanese,2010,D,D,7
Japanese,2010,D,H_D,1
Japanese,2010,H_D,H_A,1
Japanese,2010,H_D,H_D,6
Japanese,2010,H_D,P_D,1
Japanese,2010,P_D,P_D,3
Japanese,2011,D,D,5
Japanese,2011,D,H_D,1
Japanese,2011,H_A,H_A,1
Japanese,2011,H_D,H_D,8
Japanese,2011,P_D,P_D,4
Japanese,2012,D,D,4
Japanese,2012,D,P_D,1
Japanese,2012,H_A,H_A,1
Japanese,2012,H_D,H_D,9
Japanese,2012,P_D,P_D,4
Japanese,2013,D,D,4
Japanese,2013,D,H_D,1
Japanese,2013,H_A,H_A,1
Japanese,2013,H_D,H_D,9
Japanese,2013,P_D,P_D,4
Japanese,2014,D,D,6
Japanese,2014,H_A,H_A,1
Japanese,2014,H_D,H_D,10
Japanese,2014,P_D,P_D,4
Japanese,2015,D,D,5
Japanese,2015,D,H_D,1
Japanese,2015,H_A,H_A,1
Japanese,2015,H_D,H_D,10
Japanese,2015,H_D,P_D,1
Japanese,2015,P_D,P_D,4
Japanese,2016,D,D,5
Japanese,2016,H_A,H_A,1
Japanese,2016,H_D,H_D,11
Japanese,2016,P_D,P_D,6
Japanese,2017,D,D,5
Japanese,2017,H_A,H_A,1
Japanese,2017,H_D,H_A,1
Japanese,2017,H_D,H_D,9
Japanese,2017,H_D,P_D,1
Japanese,2017,P_D,P_D,6
Japanese,2018,D,D,5
Japanese,2018,H_A,H_A,2
Japanese,2018,H_D,H_D,9
Japanese,2018,P_D,P_D,6
